sku_id,forecast_demand,on_hand,reorder_point,safety_stock,category,unit_price,cost_price,stockout_risk,overstock_risk,risk_level,recommended_action,sales_at_risk,capital_locked
SKU00001,147.26559942305408,215.0,100.0,33.0,Home & Kitchen,813.41,619.77,0.0,0.4568450189424977,Healthy,HEALTHY,0.0,41979.75
SKU00002,969.8469814037416,0.0,882.0,324.0,Dairy & Bakery,70.38,49.57,1.0,0.0,High stockout,REORDER NOW,39867.58,0.0
SKU00003,62.7682761981771,414.0,250.0,85.0,Stationery & Office,151.28,83.67,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,29387.56
SKU00004,100.03883498220374,148.0,99.0,35.0,Dairy & Bakery,233.64,156.32,0.0,0.47468050305849036,Healthy,HEALTHY,0.0,7497.29
SKU00005,78.24869243086552,411.0,284.0,104.0,Home Care,138.5,83.46,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,27771.42
SKU00006,90.9393269938978,621.0,324.0,130.0,Health & Wellness,1413.92,830.81,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,440379.71
SKU00007,163.7137225310617,87.0,163.0,54.0,Beverages,129.75,78.97,0.09307387365634456,0.0,Healthy,HEALTHY,1028.71,0.0
SKU00008,69.59092189560809,0.0,0.0,0.0,Frozen Foods,492.11,358.31,1.0,0.0,High stockout,REORDER NOW,8561.6,0.0
SKU00009,70.56863233607413,85.0,154.0,39.0,Frozen Foods,251.86,178.03,0.0,0.2016437535952709,Healthy,HEALTHY,0.0,2569.22
SKU00010,66.66111037689598,0.0,0.0,0.0,Apparel & Footwear,1602.79,1096.65,1.0,0.0,High stockout,REORDER NOW,26710.94,0.0
SKU00011,64.28835919963284,3.0,35.0,17.0,Stationery & Office,123.36,83.12,0.9119513943049046,0.0,High stockout,REORDER NOW,3709.69,0.0
SKU00012,65.6534380774071,0.0,0.0,0.0,Health & Wellness,813.52,526.59,1.0,0.0,High stockout,REORDER NOW,13352.6,0.0
SKU00013,112.52256913570804,314.0,145.0,55.0,Personal Care,521.95,402.76,0.0,1.0,High overstock,MARKDOWN / CLEAR,0.0,81147.05
SKU00014,64.85654168924168,33.0,76.0,17.0,Personal Care,161.5,126.47,0.03548636864045096,0.0,Healthy,HEALTHY,34.58,0.0
